QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,CSP,NB_HAB
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,CSP+,1038.123564542
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,CSP+,2337.82685021111
PATTE D'OIE,8858.84226887,43.5981224276,1.42471507963,CSP+,1994.662617086966
PAPUS,4050.670251895,43.5728781301,1.41537493977,CSP+,323.52520237004
FONTAINE-LESTANG,2228.806471023,43.5843782291,1.41961410897,CSP+,426.8169672043
ARENES,3954.838435547,43.5910945372,1.41897810436,CSP+,881.0146254337401
BARRIERE-DE-PARIS,8770.617080080001,43.63357476,1.43010700183,CSP+,1829.06451938695
GRAMONT,975.391510163,43.6388151829,1.48324009606,CSP+,199.70678386729998
ROSERAIE,7593.81833764,43.6263301962,1.46844795716,CSP+,1535.5390617025998
JUNCASSE - ARGOULETS,5704.49515651,43.6165892108,1.47629936197,CSP+,942.3178621899999
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,CSP+,1434.88053579453
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,CSP+,106.804901913
REYNERIE,5214.055592354,43.5703225986,1.39973906829,CSP+,239.77094121204
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,CSP+,142.28857448739998
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,CSP+,832.1935284079999
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,CSP+,2482.351065387
RAMIER,786.7685527531,43.5815839869,1.43382529081,CSP+,32.8302922833
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,CSP+,2925.6262123478
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,CSP+,2027.67314119294
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,CSP+,2470.71979464397
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,CSP+,1691.2975211330001
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,CSP+,1474.41634179037
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,CSP+,1769.764037598
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,CSP+,2300.2694139053
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,CSP+,3008.4498807146
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,CSP+,1922.8822224491
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,CSP+,612.70839361913
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,CSP+,183.0137152354
GINESTOUS,736.876123353,43.644969534,1.41306195552,CSP+,93.9808984908
LALANDE,9132.670950418,43.6529517507,1.43461798789,CSP+,1368.438358895
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,CSP+,3796.2798488135
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,CSP+,596.84285945376
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,CSP+,1841.150169783
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,CSP+,567.9403083317001
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,CSP+,1431.72308585133
COMPANS,6534.325570423,43.6107166746,1.43016543261,CSP+,1721.511010279
CROIX-DE-PIERRE,5282.59716576,43.5776887837,1.42448790579,CSP+,1101.9387944789999
FAOURETTE,2934.01893651,43.579089711,1.41516717099,CSP+,239.32106665435
LA CEPIERE,4284.811722242,43.5901679443,1.40743933272,CSP+,585.9598214016
MONTAUDRAN - LESPINET,10149.42262551,43.5687360737,1.49233869826,CSP+,1689.89870019767
RANGUEIL - CHR - FACULTES,12385.9280146,43.5628058034,1.45480916802,CSP+,2635.090829289
LARDENNE,6121.08783565,43.595449714,1.38474942577,CSP+,1407.5079194469997
CARMES,5331.970382843,43.596087197,1.44140164967,CSP+,1802.121079367
SAINT-CYPRIEN,4005.3277684120003,43.5979483154,1.43391769916,CSP+,1262.4712312725
LES CHALETS,6689.19693354,43.6134014354,1.44269511567,CSP+,2208.096854489
MATABIAU,6340.519973740001,43.6098970462,1.44949474288,CSP+,1624.7571984002002
SAINT-MICHEL,9387.07451779,43.5876699389,1.44515304105,CSP+,2624.32346768
FER-A-CHEVAL,5030.717559424001,43.5908108277,1.42879744573,CSP+,1415.109553385
SEPT DENIERS,5245.82909457,43.6182067593,1.41049915359,CSP+,1434.2118402229999
MINIMES,20436.02436469,43.6191621779,1.43195460628,CSP+,4846.50124650375
BONNEFOY,6973.757392879999,43.6195659969,1.45452253663,CSP+,1369.500917591
SAINT-AGNE,5215.895732,43.5811685648,1.44790602757,CSP+,1399.089226699
EMPALOT,4267.793225914,43.5788165728,1.44020779771,CSP+,306.17697499999997
LES IZARDS,4007.465944764,43.6399492008,1.4430297077,CSP+,460.52317861903
SOUPETARD,2852.730201964,43.6081037936,1.47658009018,CSP+,511.39597970319994
CHATEAU-DE-L'HERS,7255.69005811,43.5980705541,1.48360553849,CSP+,1718.31241068339
POUVOURVILLE,3126.284634494,43.5461910801,1.45271875461,CSP+,989.2871513281999
BELLEFONTAINE,4696.898535188,43.5629440283,1.39914514871,CSP+,243.34570808427
SAINT-MARTIN-DU-TOUCH,4000.213784568,43.6104501683,1.36860739141,CSP+,1022.661191156
PURPAN,6508.93189763,43.6121713231,1.39776741099,CSP+,1064.242886695
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,CSP-,1695.8626513098002
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,CSP-,3813.702027298
PATTE D'OIE,8858.84226887,43.5981224276,1.42471507963,CSP-,5516.548132445
PAPUS,4050.670251895,43.5728781301,1.41537493977,CSP-,3043.351140764
FONTAINE-LESTANG,2228.806471023,43.5843782291,1.41961410897,CSP-,1479.344403382
ARENES,3954.838435547,43.5910945372,1.41897810436,CSP-,2290.116479411
BARRIERE-DE-PARIS,8770.617080080001,43.63357476,1.43010700183,CSP-,6034.615092985
GRAMONT,975.391510163,43.6388151829,1.48324009606,CSP-,734.0921854390001
ROSERAIE,7593.81833764,43.6263301962,1.46844795716,CSP-,5286.831063585
JUNCASSE - ARGOULETS,5704.49515651,43.6165892108,1.47629936197,CSP-,3986.402959488
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,CSP-,3990.231690804
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,CSP-,408.877514673
REYNERIE,5214.055592354,43.5703225986,1.39973906829,CSP-,3406.7585175140002
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,CSP-,1874.068928536
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,CSP-,3271.544978794
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,CSP-,4025.2554557709996
RAMIER,786.7685527531,43.5815839869,1.43382529081,CSP-,323.2511465056
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,CSP-,6214.101746768
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,CSP-,4986.146703119
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,CSP-,6762.715673892
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,CSP-,3154.39924931
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,CSP-,1941.6804566924
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,CSP-,2661.790056459
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,CSP-,6170.928338119001
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,CSP-,5165.384142748
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,CSP-,5111.575703572
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,CSP-,1534.474219318
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,CSP-,2575.3576092350004
GINESTOUS,736.876123353,43.644969534,1.41306195552,CSP-,353.42711970820005
LALANDE,9132.670950418,43.6529517507,1.43461798789,CSP-,7016.142821056001
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,CSP-,15412.19557858
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,CSP-,3087.710275468
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,CSP-,4453.259241532
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,CSP-,1459.122869041
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,CSP-,2327.4328184280002
COMPANS,6534.325570423,43.6107166746,1.43016543261,CSP-,3267.087223394
CROIX-DE-PIERRE,5282.59716576,43.5776887837,1.42448790579,CSP-,3601.3186632650004
FAOURETTE,2934.01893651,43.579089711,1.41516717099,CSP-,2050.105884992
LA CEPIERE,4284.811722242,43.5901679443,1.40743933272,CSP-,2866.509893834
MONTAUDRAN - LESPINET,10149.42262551,43.5687360737,1.49233869826,CSP-,5619.837300953
RANGUEIL - CHR - FACULTES,12385.9280146,43.5628058034,1.45480916802,CSP-,5113.270186164
LARDENNE,6121.08783565,43.595449714,1.38474942577,CSP-,3753.934899456
CARMES,5331.970382843,43.596087197,1.44140164967,CSP-,2475.3126540850003
SAINT-CYPRIEN,4005.3277684120003,43.5979483154,1.43391769916,CSP-,2017.250673278
LES CHALETS,6689.19693354,43.6134014354,1.44269511567,CSP-,3336.4551772349996
MATABIAU,6340.519973740001,43.6098970462,1.44949474288,CSP-,3316.1127650379995
SAINT-MICHEL,9387.07451779,43.5876699389,1.44515304105,CSP-,4804.345431174999
FER-A-CHEVAL,5030.717559424001,43.5908108277,1.42879744573,CSP-,3025.9385352829995
SEPT DENIERS,5245.82909457,43.6182067593,1.41049915359,CSP-,3355.627905725
MINIMES,20436.02436469,43.6191621779,1.43195460628,CSP-,13040.71907345
BONNEFOY,6973.757392879999,43.6195659969,1.45452253663,CSP-,4830.95262132
SAINT-AGNE,5215.895732,43.5811685648,1.44790602757,CSP-,2932.1263386150003
EMPALOT,4267.793225914,43.5788165728,1.44020779771,CSP-,3019.484471435
LES IZARDS,4007.465944764,43.6399492008,1.4430297077,CSP-,2909.2669725939995
SOUPETARD,2852.730201964,43.6081037936,1.47658009018,CSP-,1997.296701989
CHATEAU-DE-L'HERS,7255.69005811,43.5980705541,1.48360553849,CSP-,4946.732148354
POUVOURVILLE,3126.284634494,43.5461910801,1.45271875461,CSP-,1539.99716171
BELLEFONTAINE,4696.898535188,43.5629440283,1.39914514871,CSP-,3205.1077040160003
SAINT-MARTIN-DU-TOUCH,4000.213784568,43.6104501683,1.36860739141,CSP-,2555.162379242
PURPAN,6508.93189763,43.6121713231,1.39776741099,CSP-,4301.711980941001
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,INACTIFS,1036.68715794
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,INACTIFS,2269.46932841
PATTE D'OIE,8858.84226887,43.5981224276,1.42471507963,INACTIFS,2018.76219709
PAPUS,4050.670251895,43.5728781301,1.41537493977,INACTIFS,1077.88303256
FONTAINE-LESTANG,2228.806471023,43.5843782291,1.41961410897,INACTIFS,504.165261807
ARENES,3954.838435547,43.5910945372,1.41897810436,INACTIFS,1075.89382675
BARRIERE-DE-PARIS,8770.617080080001,43.63357476,1.43010700183,INACTIFS,1434.39868532
GRAMONT,975.391510163,43.6388151829,1.48324009606,INACTIFS,123.43832128700001
ROSERAIE,7593.81833764,43.6263301962,1.46844795716,INACTIFS,1251.48296335
JUNCASSE - ARGOULETS,5704.49515651,43.6165892108,1.47629936197,INACTIFS,1283.22396649
LA TERRASSE,5889.26157407,43.5840216111,1.48508530918,INACTIFS,793.48770295
ZONES D'ACTIVITES SUD,706.03804862,43.5540170114,1.41678405499,INACTIFS,210.61967372400002
REYNERIE,5214.055592354,43.5703225986,1.39973906829,INACTIFS,2099.71669158
MIRAIL-UNIVERSITE,2626.480009764,43.5782652453,1.40167764417,INACTIFS,826.697771845
LES PRADETTES,4712.327412539,43.5823273657,1.39003097476,INACTIFS,950.141250844
LE BUSCA,7590.24104467,43.5907159742,1.45407208147,INACTIFS,1884.01389965
RAMIER,786.7685527531,43.5815839869,1.43382529081,INACTIFS,727.050577843
GUILHEMERY,10386.974317350001,43.6025734884,1.46613995386,INACTIFS,2150.63021012
PONT-DES-DEMOISELLES,7933.01057113,43.58265194,1.4692933284,INACTIFS,1622.62774838
CASSELARDIT,10781.56087792,43.6003944758,1.40936334348,INACTIFS,2479.40337272
ARNAUD BERNARD,6757.35496475,43.607587822,1.43979368004,INACTIFS,3238.94566205
SAINT-ETIENNE,4151.966449155,43.5971131627,1.44827757098,INACTIFS,1130.26952022
AMIDONNIERS,5735.352107858001,43.6062858201,1.42339702287,INACTIFS,2135.92070037
MARENGO - JOLIMONT,9727.78740584,43.6117583769,1.46190401897,INACTIFS,2311.80082949
COTE PAVEE,9264.62800684,43.5930757136,1.46932064658,INACTIFS,2023.94166226
SAUZELONG - RANGUEIL,8298.33223083,43.5791097556,1.45915760009,INACTIFS,2068.91779441
JULES JULIEN,2775.7705113380002,43.5751727591,1.45209461034,INACTIFS,1018.60709782
BAGATELLE,3667.267476321,43.5822089193,1.41005098694,INACTIFS,1205.71064099
GINESTOUS,736.876123353,43.644969534,1.41306195552,INACTIFS,363.857483628
LALANDE,9132.670950418,43.6529517507,1.43461798789,INACTIFS,1239.47353965
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,INACTIFS,3661.68977397
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,INACTIFS,1067.73978654
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,INACTIFS,977.7495785780001
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,INACTIFS,459.178686271
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,INACTIFS,2539.83730373
COMPANS,6534.325570423,43.6107166746,1.43016543261,INACTIFS,2166.11349613
CROIX-DE-PIERRE,5282.59716576,43.5776887837,1.42448790579,INACTIFS,1051.09017748
FAOURETTE,2934.01893651,43.579089711,1.41516717099,INACTIFS,899.217707313
LA CEPIERE,4284.811722242,43.5901679443,1.40743933272,INACTIFS,1184.48422688
MONTAUDRAN - LESPINET,10149.42262551,43.5687360737,1.49233869826,INACTIFS,4102.22439004
RANGUEIL - CHR - FACULTES,12385.9280146,43.5628058034,1.45480916802,INACTIFS,8293.90353577
LARDENNE,6121.08783565,43.595449714,1.38474942577,INACTIFS,1425.47431499
CARMES,5331.970382843,43.596087197,1.44140164967,INACTIFS,1459.55279514
SAINT-CYPRIEN,4005.3277684120003,43.5979483154,1.43391769916,INACTIFS,1036.75004854
LES CHALETS,6689.19693354,43.6134014354,1.44269511567,INACTIFS,1833.35734784
MATABIAU,6340.519973740001,43.6098970462,1.44949474288,INACTIFS,1900.24594699
SAINT-MICHEL,9387.07451779,43.5876699389,1.44515304105,INACTIFS,2614.86138639
FER-A-CHEVAL,5030.717559424001,43.5908108277,1.42879744573,INACTIFS,1197.50313983
SEPT DENIERS,5245.82909457,43.6182067593,1.41049915359,INACTIFS,839.198181343
MINIMES,20436.02436469,43.6191621779,1.43195460628,INACTIFS,4108.01047568
BONNEFOY,6973.757392879999,43.6195659969,1.45452253663,INACTIFS,1287.12769097
SAINT-AGNE,5215.895732,43.5811685648,1.44790602757,INACTIFS,1382.80982796
EMPALOT,4267.793225914,43.5788165728,1.44020779771,INACTIFS,1344.79488965
LES IZARDS,4007.465944764,43.6399492008,1.4430297077,INACTIFS,996.236366379
SOUPETARD,2852.730201964,43.6081037936,1.47658009018,INACTIFS,547.10778972
CHATEAU-DE-L'HERS,7255.69005811,43.5980705541,1.48360553849,INACTIFS,1097.03983698
POUVOURVILLE,3126.284634494,43.5461910801,1.45271875461,INACTIFS,1071.96910384
BELLEFONTAINE,4696.898535188,43.5629440283,1.39914514871,INACTIFS,1840.05476521
SAINT-MARTIN-DU-TOUCH,4000.213784568,43.6104501683,1.36860739141,INACTIFS,605.291154272
PURPAN,6508.93189763,43.6121713231,1.39776741099,INACTIFS,1646.48384516
